ID,predict_proba
48786,0.243126581
53074,0.189596765
49289,0.925748888
56787,0.560519835
27135,0.339760201
1222,0.182889427
45631,0.154188876
29686,0.462392843
71663,0.46754341
68721,0.549201712
37270,0.783927836
42999,0.754071908
48467,0.868214539
4262,0.590625362
37193,0.65306583
71073,0.68775635
56558,0.731723823
45027,0.8264788
50873,0.660785015
28769,0.373782003
2073,0.859339865
23909,0.201879306
28823,0.361965881
67790,0.919967038
49280,0.24498384
16050,0.342075937
56952,0.433377583
57836,0.375228436
22336,0.842010147
50057,0.116242203
24013,0.590638858
33105,0.032285085
71187,0.088465007
64875,0.683479643
38818,0.923083717
23810,0.171631377
13104,0.610877725
6189,0.350526291
45980,0.205338797
354,0.720758809
17029,0.751904229
25414,0.645017475
26109,0.630218899
23970,0.421060887
54650,0.339877515
65217,0.781387597
72792,0.107746825
41345,0.716593779
52812,0.744564518
14040,0.593768727
4515,0.533267709
38851,0.733390637
41855,0.879670991
5193,0.613086418
18821,0.246200723
14537,0.637402161
48016,0.768064932
59936,0.39328949
4354,0.728600703
65690,0.53446464
43097,0.574010298
31901,0.926854255
68056,0.101472083
15085,0.901852074
8706,0.875225621
58770,0.470200377
31822,0.70124425
7764,0.218836365
18924,0.328405698
39433,0.568755597
72345,0.05501055
55266,0.743360897
69248,0.291491978
70011,0.401602323
11196,0.785929
60355,0.410716093
49727,0.778706993
63190,0.737027123
42268,0.529021527
43540,0.520324099
21222,0.757152235
28319,0.622459191
45100,0.705890566
63037,0.349025189
49710,0.043961419
56489,0.668085674
49983,0.866541252
57826,0.368459286
71061,0.238879611
63914,0.899478497
7059,0.728675519
16666,0.629517742
3562,0.906244901
52418,0.290144342
41683,0.330107048
27787,0.859108794
67576,0.835509932
25649,0.917122367
33449,0.376997681
36452,0.920549747
55875,0.657539039
41085,0.562833088
44000,0.852209211
51664,0.298179138
7493,0.375461241
69773,0.697426119
70477,0.56257709
731,0.474842384
27458,0.324815049
53110,0.541929197
34018,0.429536541
56895,0.721078026
20973,0.063254719
47526,0.609584913
12178,0.495905084
27599,0.704523801
43533,0.811893302
62162,0.756382931
31288,0.174104505
65912,0.930758472
27488,0.722889469
6910,0.712344295
51038,0.85169557
28572,0.762876404
69430,0.764613113
66384,0.448354305
25621,0.396066712
54278,0.229783229
18811,0.916592149
21534,0.757440554
4011,0.246323706
46229,0.599833089
63053,0.277607881
41153,0.649928186
10269,0.115932849
16959,0.898162106
48335,0.576735489
40947,0.594161785
35625,0.670013681
31277,0.424343914
62379,0.905218281
44055,0.422391235
41,0.833123199
23092,0.228356133
69916,0.54999666
62836,0.644827006
13410,0.911435794
46427,0.749481636
12358,0.497296155
66871,0.63616443
45069,0.327171677
23250,0.530492864
38820,0.891362218
14756,0.475990795
13162,0.847728444
55963,0.40576197
23103,0.760504225
52501,0.251549914
56066,0.311475917
70951,0.738258173
17701,0.805495261
72935,0.550954036
21618,0.556691437
51660,0.352409397
46710,0.338088363
55338,0.458112932
40037,0.012362891
17785,0.41515006
64511,0.851364314
54688,0.152349412
51183,0.543223145
994,0.405794436
41491,0.38112427
13263,0.273984993
43697,0.068561675
31885,0.523858965
64826,0.885124469
69009,0.027986734
19044,0.724866461
27703,0.66485064
18167,0.614124016
27751,0.419799363
4659,0.408531036
7880,0.560967342
21858,0.383504799
15824,0.330355671
62502,0.366985394
24486,0.327444566
13924,0.772962893
49458,0.859913009
44581,0.860741619
46424,0.30208888
20291,0.463356122
45736,0.673947845
23965,0.375149364
69538,0.566909087
34472,0.526549469
60316,0.249531803
56134,0.879350195
38289,0.881682846
14698,0.618070251
65244,0.095089458
34977,0.22867176
38174,0.814396406
61063,0.650064472
51225,0.552218267
18691,0.930231095
71232,0.328624694
68280,0.477009899
32023,0.719507543
30335,0.495077044
35877,0.179787884
43035,0.255764169
17512,0.75414554
34571,0.41713063
68773,0.366464285
52532,0.905487309
43210,0.920735137
18568,0.778623926
43905,0.333831559
4704,0.381296892
60535,0.373738026
12598,0.736367939
22592,0.437519442
71692,0.276268875
28509,0.70326322
48429,0.328440307
72655,0.87883324
23192,0.498586926
29366,0.399720724
72226,0.617460615
43235,0.764040829
32194,0.495354568
10486,0.897347622
40285,0.655451595
57629,0.737102537
31762,0.473931756
56692,0.192666112
31040,0.091213866
25257,0.747680507
50206,0.261298062
67343,0.33465267
1400,0.903554032
42094,0.500221216
32966,0.04478909
25538,0.111475977
13803,0.908091352
23424,0.682656667
14647,0.510916919
13136,0.32341642
68467,0.564376383
11831,0.596457431
71145,0.370569944
58182,0.64211243
22576,0.667363887
6729,0.511168705
35049,0.351958866
68993,0.446842778
39521,0.440453222
1785,0.227986247
1636,0.276285557
21645,0.845362001
63045,0.435403398
72827,0.176954746
63619,0.333816502
32444,0.903421752
72799,0.07869454
61072,0.796828372
61143,0.027799739
26982,0.692935216
51680,0.923651844
54215,0.372010675
44389,0.764763331
914,0.403955148
38040,0.632596932
9857,0.915459558
10035,0.492437675
48709,0.861128906
15934,0.780056399
47730,0.319332911
61002,0.244821859
53515,0.452408014
